t_s,score,pct_burst,sort_Melem/s,lz_MB/s,nbody_Msteps/s,sgemm_GFLOPS,p_ghz,e_ghz,p_busy,e_busy,cpu_w,p_w,e_w,temp_c,fan_rpm,pressure,bg_cores,measuring
4.20,7388.1,100.24,244.9,8057,221.5,752.1,4.042,2.959,3.98,5.87,22.81,18.48,4.33,84.1,nan,0,0.12,0
8.40,7196.0,97.63,246.5,7726,215.6,720.9,3.871,2.964,4.00,5.87,20.65,16.16,4.49,100.0,nan,0,0.12,0
12.61,6971.9,94.59,238.7,7494,211.6,688.8,3.709,2.964,3.99,5.79,18.84,14.37,4.47,101.1,nan,0,0.19,0
16.81,6864.9,93.14,235.6,7355,208.8,677.4,3.603,2.964,3.98,5.79,17.69,13.19,4.51,101.3,nan,0,0.21,0
21.01,6802.3,92.29,237.1,7255,208.7,658.3,3.540,2.961,3.98,5.81,16.97,12.46,4.51,101.3,nan,0,0.18,0
25.21,6715.0,91.11,234.8,7249,205.4,641.8,3.478,2.956,3.98,5.75,16.44,12.00,4.44,101.5,nan,0,0.26,0
29.41,6681.0,90.65,229.9,7169,205.7,648.4,3.433,2.950,3.98,5.78,16.06,11.61,4.45,101.4,nan,0,0.22,0
33.62,6679.9,90.63,232.9,7157,204,646.2,3.405,2.945,3.99,5.81,15.88,11.43,4.45,101.4,nan,0,0.18,0
37.82,6677.8,90.60,231.8,7164,204.8,645.2,3.377,2.941,3.99,5.84,15.66,11.20,4.45,101.3,nan,0,0.14,0
42.02,6618.7,89.80,227.8,7110,203.5,642.4,3.360,2.938,3.99,5.78,15.48,11.08,4.39,101.4,nan,0,0.22,0
46.22,6637.5,90.05,232,7087,203.2,641,3.340,2.939,3.99,5.84,15.35,10.90,4.45,101.5,nan,0,0.15,0
50.42,6489.8,88.05,223.6,7000,199.4,627.3,3.316,2.932,3.97,5.68,14.96,10.67,4.29,101.5,nan,0,0.33,0
54.63,6509.4,88.32,227.2,6961,199.9,626.7,3.307,2.931,3.98,5.72,14.93,10.61,4.32,101.5,nan,0,0.28,0
58.83,6500.7,88.20,226.3,6963,200,625.3,3.292,2.927,3.98,5.74,14.79,10.48,4.31,101.5,nan,0,0.27,0
63.03,6484.6,87.98,227.2,6942,197,627.8,3.276,2.928,3.97,5.74,14.68,10.35,4.32,101.5,nan,0,0.27,0
67.23,6579.4,89.27,230,7065,202.3,629.1,3.272,2.927,3.99,5.86,14.77,10.37,4.41,101.5,nan,0,0.12,0
71.43,6567.8,89.11,230,6985,202.4,631.4,3.270,2.925,4.00,5.83,14.74,10.36,4.38,101.5,nan,1,0.15,0
75.64,6551.8,88.89,228,7027,201.8,628.7,3.265,2.926,3.98,5.85,14.61,10.22,4.39,101.5,nan,1,0.15,0
79.84,6580.5,89.28,230.9,7065,201.7,629,3.270,2.925,3.99,5.86,14.73,10.33,4.40,101.5,nan,1,0.13,0
84.04,6563.2,89.05,229.4,7003,202,631.1,3.255,2.923,3.99,5.88,14.56,10.15,4.40,101.5,nan,1,0.12,0
88.24,6549.4,88.86,227.9,7023,201.7,629,3.245,2.922,3.99,5.85,14.52,10.14,4.38,101.6,nan,1,0.14,0
92.45,6550.6,88.88,228,7021,202.7,626.2,3.244,2.922,3.99,5.87,14.44,10.06,4.39,101.5,nan,1,0.13,0
96.65,6522.5,88.49,228.9,6961,200.9,623.8,3.221,2.920,4.00,5.87,14.19,9.82,4.38,100.8,nan,1,0.11,0
100.85,6499.4,88.18,225.1,6977,202,620.8,3.216,2.914,3.99,5.84,14.19,9.88,4.31,100.6,nan,1,0.15,0
105.05,6477.3,87.88,224.1,7011,199.7,619.2,3.194,2.911,3.99,5.83,13.99,9.70,4.29,100.8,nan,1,0.16,0
109.25,6456.7,87.60,219.5,6944,201.5,624.4,3.170,2.909,3.99,5.82,13.90,9.62,4.27,100.5,nan,1,0.17,0
113.46,6458.5,87.63,220.4,7047,199.4,619.9,3.164,2.908,3.99,5.83,13.85,9.58,4.28,100.4,nan,2,0.17,0
117.66,6492.5,88.09,221.8,7045,202.1,621,3.175,2.909,3.99,5.86,13.97,9.67,4.30,100.5,nan,2,0.13,0
121.86,6470.9,87.79,221.9,6984,200.9,621.4,3.169,2.907,3.99,5.85,13.89,9.61,4.28,100.4,nan,2,0.15,0
126.06,6428.5,87.22,220,6990,199.2,615.5,3.149,2.906,3.99,5.82,13.68,9.43,4.26,100.7,nan,2,0.17,0
130.27,6390.1,86.70,219,6970,195.2,617.7,3.135,2.908,3.99,5.77,13.57,9.34,4.23,100.1,nan,2,0.23,0
134.47,6386.7,86.65,219.4,6905,198.7,609.8,3.096,2.906,3.98,5.82,13.31,9.06,4.25,99.6,nan,2,0.18,0
138.67,6244.0,84.72,218.2,6675,193,596.5,3.058,2.906,3.97,5.69,12.89,8.74,4.15,98.8,nan,2,0.31,0
142.87,6234.6,84.59,213.1,6735,195,595.9,3.024,2.905,3.98,5.72,12.65,8.50,4.16,98.1,nan,2,0.29,0
147.07,6098.0,82.74,214.1,6489,188.3,583.4,2.978,2.903,3.91,5.66,12.16,8.07,4.09,97.6,nan,2,0.43,0
151.28,6239.9,84.66,210.7,6819,194.8,597.7,2.974,2.904,3.97,5.79,12.36,8.15,4.20,97.0,nan,2,0.21,0
155.48,6243.4,84.71,215.4,6634,196.6,597,2.983,2.903,3.97,5.78,12.37,8.19,4.17,96.7,nan,2,0.22,0
159.68,6278.7,85.19,218.4,6787,197,587.2,2.977,2.905,3.99,5.82,12.34,8.15,4.20,96.1,nan,2,0.17,0
163.88,6236.5,84.61,215.1,6736,195.2,590.3,2.912,2.901,3.99,5.85,12.04,7.84,4.20,95.4,nan,2,0.15,0
168.08,6226.3,84.48,214.1,6705,195.9,589.7,2.913,2.899,3.99,5.86,11.92,7.73,4.19,94.9,nan,2,0.12,0
172.29,6128.7,83.15,212.5,6608,190.7,581.4,2.842,2.899,3.98,5.81,11.55,7.41,4.14,94.0,nan,2,0.19,0
176.49,6125.0,83.10,210.4,6610,191.5,583.3,2.812,2.898,3.99,5.83,11.43,7.27,4.15,93.3,nan,2,0.16,0
180.69,6098.6,82.74,211.8,6563,190.9,575.3,2.793,2.898,3.99,5.83,11.29,7.14,4.14,92.9,nan,2,0.15,0
184.89,6070.0,82.36,208.3,6570,191,572.9,2.753,2.897,3.99,5.83,11.10,6.97,4.13,92.2,nan,2,0.17,0
189.10,6033.6,81.86,208.5,6485,190.4,568,2.752,2.896,3.98,5.80,11.00,6.91,4.09,92.0,nan,2,0.19,0
193.30,5919.5,80.31,208.8,6276,185.1,558.9,2.708,2.895,3.97,5.71,10.69,6.68,4.02,91.2,nan,2,0.31,0
197.50,5907.6,80.15,204.9,6315,185.8,558.9,2.666,2.894,3.97,5.75,10.51,6.47,4.04,90.5,nan,2,0.27,0
201.70,5907.8,80.15,203.5,6357,185.8,559.2,2.659,2.893,3.97,5.75,10.49,6.46,4.03,90.3,nan,2,0.27,0
205.91,5851.6,79.39,200.1,6287,185.5,554.4,2.636,2.892,3.96,5.68,10.29,6.33,3.96,90.0,nan,2,0.33,0
210.11,5657.3,76.76,197.1,5852,181.7,539.5,2.634,2.888,3.93,5.46,10.06,6.27,3.79,90.0,nan,2,0.60,0
214.31,5155.6,69.95,197.3,4501,160.8,545.9,2.548,2.877,3.64,5.17,9.04,5.48,3.56,88.9,nan,2,1.20,0
218.51,5744.3,77.94,196.8,6273,180.6,538.8,2.634,2.887,3.98,5.53,10.17,6.34,3.83,88.8,nan,2,0.48,0
